status	label	forms
map	contingent valuation	contingent-valuation|&|contingent valuations
map	contingent valuation method	contingent valuation methods|&|contingent-valuation method
map	contingent valuation studies	contingent valuations studies|&|contingent-valuation study|&|contingent-valuation studies|&|contingent valuation study
map	contingent valuation surveys	contingent-valuation survey|&|contingent valuation survey
map	control group	control groups
map	cooperation	cooperators|&|cooper|&|cooperativity|&|cooperativeness|&|cooperations|&|cooperatives|&|cooperative|&|cooperate
map	coordination	coordinators
map	corporate social responsibility	corporate social responsibilities|&|corporate social responsiveness
map	costa rica	
map	cost-benefit analysis	cost benefit analysis|&|cost/benefit analysis
map	costs	cost
map	criteria	
map	crop productivity	crop production
map	crops	crop|&|cropping
map	current understanding	current understandings
map	czech republic	
map	damage	damages
map	data	
map	data collection	
map	data sources	data source
map	decision makers	decision-makers|&|decision maker|&|decision-maker
map	decision-making	decision making
map	decision-making process	decision-making processes|&|decision making processes|&|decision making process
map	decisions	decision|&|decisiveness
map	decision support system	decision support systems|&|decision-support system|&|decision-support systems
map	decision support tool	decision-support tool|&|decision support tools|&|decision-support tools
map	deforestation	
map	degradation	degradations|&|degrade
map	developed countries	development countries|&|developing countries|&|developed country
map	development	developer|&|developers|&|developments
map	diagnosis	
map	different locations	
map	different states	different state
map	direction	directions|&|directional|&|directing|&|directives|&|directionality|&|direct|&|directive
map	discount rate	discount rates
map	discrete choice experiments	discrete-choice experiment|&|discrete choice experiment|&|discrete-choice experiments
map	disorder	
map	distribution	distributive|&|distributions|&|distributional
map	diversity	diversions|&|diversion|&|diversities
map	dynamic model	dynamic modeling|&|dynamics model|&|dynamic models|&|dynamical model|&|dynamic modelling
map	dynamic system	dynamic systems|&|dynamical system|&|dynamical systems
map	early detection	
map	earth	
map	ecological economics	
map	ecological footprint	ecological footprinting|&|ecological footprints
map	ecological impacts	ecological impact
map	ecological processes	ecological process
map	ecological restoration	ecological restorations
map	ecological services	ecological service
map	ecological sustainability	ecologically sustainable|&|ecology sustaining|&|ecologically sustainability
map	ecological systems	ecological system|&|ecologic systems|&|ecologic system
map	ecology	ecologically|&|ecologies|&|ecological
map	econometric analysis	
map	econometric model	econometric modeling|&|econometric modelling|&|econometric models
map	economic activity	economic activities
map	economic analysis	
map	economic aspects	economics aspect|&|economic aspect|&|economical aspects
map	economic benefits	economic benefit|&|economical benefits
map	economic consequences	economical consequences
map	economic costs	economic cost
map	economic development	economical development|&|economic developments
map	economic efficiency	economic efficiencies
map	economic evaluation	economic evaluations
map	economic growth	economical growth
map	economic impact	economical impact|&|economic impacts
map	economic incentives	economic incentive|&|economics incentives
map	economic instruments	economic instrument
map	economic model	economic modeling|&|economic models|&|economic modelling|&|economics model
map	economic performance	
map	economic returns	economics returns|&|economic return
map	economics	econom|&|economical|&|economic|&|economism
map	economic theory	economics theories|&|economics theory|&|economic theories
map	economic valuation	economic valuations
map	economic value	economic values|&|economical value
map	economy	economie|&|economies|&|economi
map	ecosystem functions	ecosystems functioning|&|ecosystem function|&|ecosystem functioning|&|ecosystem functionality
map	ecosystem health	
map	ecosystems	ecosystem
map	ecosystem services	ecosystem service|&|ecosystems services
map	ecosystem service values	ecosystem services value|&|ecosystem services values|&|ecosystem service value
map	education	educators
map	efficiency	efficiencies|&|efficient
map	ekc	ekcs
map	emission reduction	emission reductions|&|emissions reductions|&|emissions reduction
map	emissions	emission
map	emissions tax	emission tax|&|emissions taxes|&|emission taxes
map	emission trading	emission trade|&|emissions trading
map	empirical analysis	
map	empirical evidence	empirical evidences
map	empirical research	empirical researchers
map	empirical studies	empirical study
map	endangered species	
map	energy	energies
map	energy consumption	energy consumptions
map	energy efficiency	energy-efficiency|&|energy efficient|&|energy efficiencies
map	energy pricing	energy prices|&|energy price
map	energy use	energy uses|&|energy-use
map	environment	environs|&|environ|&|environments
map	environmental accounting	environmental accounts
map	environmental assessment	environmental assessments
map	environmental awareness	
map	environmental benefits	environmental benefit
map	environmental change	environmental changes
map	environmental conditions	environmental condition
map	environmental conservation	
map	environmental costs	environmental cost
map	environmental damage	environmental damages
map	environmental degradation	
map	environmental economics	
map	environmental effects	environmental effect|&|environmental effectiveness
map	environmental externality	environmental externalities
map	environmental factors	environmental factor
map	environmental goods	environmental good
map	environmental impact	environmental impacts
map	environmental indicators	environmental indication|&|environmental indices|&|environmental indicator
map	environmental issues	environmental issue
map	environmental kuznets curve	environmental kuznets curves
map	environmental management	environmental manager|&|environmental managers
map	environmental performance	environmental performances
map	environmental policy	environmental policies
map	environmental pollution	environmental pollutions|&|environmental pollutant|&|environmental pollutants
map	environmental pressure	environmental pressures
map	environmental problems	environmental problem
map	environmental protection	environmental protections
map	environmental quality	environmental qualities
map	environmental regulations	environmental regulators|&|environmental regulator|&|environmental regulation
map	environmental resources	environmental resource
map	environmental risks	environmental risk
map	environmental science	environmental sciences
map	environmental services	environmental service
map	environmental standards	environmental standard|&|environmental standardization
map	environmental sustainability	
map	environmental taxes	environmental tax
map	environmental valuation	environmental valuations
map	environmental value	environmental values
map	episodes	episode
map	equity	
map	erp environment	
map	europe	
map	european countries	
map	european union	
map	exhaustible resources	exhaustible resource
map	existence	
map	existence values	existence-value|&|existence value
map	experience	experiment|&|experiments|&|experiences
map	experimental data	
map	exploratory study	
map	externalities	externalization|&|externally|&|externality|&|externe|&|external
map	extinction	extinct|&|extinctions
map	failure	failures
map	fair trade	
map	farmers	farmer
map	farming system	farm systems|&|farming systems
map	farms	farmed|&|farm|&|farming
map	field	fields|&|fielding
map	field experiments	field experiences|&|field experiment
map	financial performance	financial performances
map	firms	firm|&|firmness
map	first phase	
map	fish	fishing|&|fishes
map	fisheries	fishery
map	fisheries management	fisheries managers|&|fishery management|&|fishery managers|&|fishery manager
map	fishing effort	fishing efforts
map	fish populations	fish population
map	fish species	fished species
map	fish stocks	fish-stocks|&|fishing stock|&|fished stocks|&|fish stock|&|fished stock|&|fish stocking
map	food consumption	
map	foods	food
map	food security	
map	forest area	forested area|&|forest areas|&|forested areas|&|forests areas
map	forest cover	
map	forest ecosystem	forest ecosystems
map	forest land	forests lands|&|forested land|&|forested lands|&|forest lands
map	forest managers	forest management
map	forest products	forest product|&|forest productivity|&|forest production
map	forest resources	forest resource|&|forests resources
map	forests	forester|&|forest|&|foresters|&|forestation
map	fossil fuels	fossil-fuel|&|fossil fuel
map	future generations	future generation
map	game theory	
map	gap	gaps
map	gender	genders
map	general population	
map	genetic diversity	
map	geographic information systems	geographical information system|&|geographic information system|&|geographical information systems
map	ghg emissions	ghg emission
map	global change	global changes
map	global climate change	global climate changes|&|global climatic change
map	global environmental change	
map	global level	global levels
map	global warming	
map	goods	good|&|goodness
map	governance	governments|&|governability|&|government
map	greenhouse gas	greenhouse-gas
map	greenhouse gas emissions	greenhouse gas emission|&|greenhouse-gas emissions|&|greenhouse-gas emission
map	greenhouse gases	greenhouses gases
map	growth	growths
map	growth rate	growth rates
map	habitat	habitats
map	harvest	harvests|&|harvesting|&|harvesters
map	health	
map	health benefits	health benefit
map	health care	
map	health effects	health effect
map	health risks	health risk
map	heterogeneity	heterogeneities
map	higher education	
map	high risk	high risks
map	household income	household incomes
map	households	householders|&|householder|&|household
map	housing prices	house price|&|house pricing|&|housing price|&|house prices
map	human beings	human-beings|&|human being
map	human capital	
map	human development	
map	human health	
map	human populations	human population
map	human society	human societies
map	human welfare	
map	human well-being	
map	important factor	important factors
map	important role	important roles
map	imports	importance|&|importers|&|importation|&|importer|&|important|&|import
map	improvements	improvement
map	incentives	incentive
map	income	incomers|&|incomes
map	income elasticity	income elastic|&|income elasticities|&|income-elasticity
map	india	
map	indicators	indications|&|indicator|&|indication|&|indices
map	indigenous peoples	indigenous people
map	indirect effects	indirect effect
map	individuals	individualization|&|individualism|&|individuality|&|individual
map	industrialization process	industrial processes|&|industrial processing|&|industrial process
map	industrialized countries	industrialized country|&|industrial country|&|industrial countries|&|industrializing countries
map	industrial production	industrial products|&|industry products|&|industrial productions|&|industrial productivity|&|industry productivity
map	industrial sector	industry sector|&|industrial sectors|&|industry sectors
map	industries	industrial|&|industrialization|&|industrys|&|industry|&|industrialism|&|industrials
map	information	informants|&|informant|&|informativeness
map	innovation	innovations|&|innovativeness|&|innovators|&|innovate|&|innovator
map	institutional change	institutional changes
map	institutions	institute|&|institut|&|institutes|&|institution|&|institutionalism|&|institutional
map	instruments	instrumentality|&|instrument
map	integrated assessment models	integrated assessment modeling|&|integrated assessment model
map	integrative approach	integrated approaches|&|integral approach|&|integrability approach|&|integrated approach|&|integrative approaches
map	intensive use	intensive uses
map	interaction effects	interactive effectiveness|&|interactive effects|&|interactive effect|&|interaction effect
map	internal structure	
map	international environmental agreements	international environmental agreement
map	international markets	international marketing|&|international market|&|internal market
map	international trade	
map	interviews	interview|&|interviewer|&|interviewers
map	invasion	invasive|&|invasiveness|&|invasibility|&|invasives|&|invasions
map	invasive species	
map	investment	investing|&|investments
map	involvement	
map	japan	japans
map	knowledge	knowledges
map	kyoto protocol	kyoto protocols
map	land	landing|&|landings|&|lands
map	land cover	land-cover
map	land-cover change	land-cover changes|&|land cover changes|&|land cover change
map	land degradation	land-degradation
map	land managers	land manager|&|land-management|&|land management
map	landscape ecology	landscape ecological
map	landscapes	landscape|&|landscaping
map	land use	land uses|&|land-use|&|land-uses
map	land use change	land-use changes|&|land use changes|&|land-use change
map	land use patterns	land-use patterns|&|land-use pattern|&|land use pattern
map	land values	landing value|&|land value|&|landing values
map	latin america	
map	lca	
map	legislation	legislator|&|legislators|&|legislations
map	life	
map	life cycle	life-cycle|&|life-cycles|&|life cycles
map	life cycle assessment	life cycle assessments|&|life-cycle assessments|&|life-cycle assessment
map	life expectancy	
map	life satisfaction	
map	linear regression	
map	literature review	literature reviews
map	livelihoods	livelihood
map	local communities	local community
map	local governments	local government|&|local governance
map	local people	local peoples
map	logistic regression	logistic regressions
map	loss	losses
map	main problems	main problem
map	management	manager|&|managers|&|managements|&|managing|&|manag|&|manageability
map	management practices	management practice
map	management strategies	management strategy
map	management tool	management tools
map	marginal costs	marginal cost
map	marginal damage	marginal damages
map	marine ecosystems	marine ecosystem
map	marine reserves	marine reserve
map	market-based instruments	market-based instrument
map	markets	marketization|&|market|&|marketers|&|marketing
map	market values	market value|&|marketable values
map	materials	materiality|&|materialism|&|material
map	mathematical model	mathematical modelling|&|mathematical modeling|&|mathematic models|&|mathematical models
map	measures	measurability|&|measure|&|measurement|&|measurable|&|measuring|&|measurements
map	meat	meats
map	member states	member state
map	memory	memories
map	metabolism	metabolisms
map	modeling approach	model approaches|&|model approach|&|modelling approach|&|modeling approaches|&|modelling approaches
map	monetary terms	monetary term
map	monetary valuation	monetary valuations
map	monetary values	monetary value
map	money	
map	multivariate analysis	
map	nash equilibrium	
map	national level	national levels
map	national park	national parks
map	native species	
map	natural areas	nature areas|&|natural area
map	natural capital	natural capitalism
map	natural ecosystems	natural ecosystem
map	natural environment	natural environments
map	natural resource management	natural resource managers|&|natural resources management|&|natural resource managing|&|natural-resource management
map	natural resources	natural resource
map	natural science	natural sciences
map	natural systems	natural system
map	nature	natural|&|naturalness|&|natures|&|natur|&|naturalism
map	nature conservation	nature conservancy
map	negative effects	negative effect
map	negative externalities	negative externality
map	negative impacts	negative impact
map	neoclassical economics	
map	nepal	
map	net benefits	net benefit
map	netherlands	
map	net present value	net present values|&|net-present-value
map	non-market goods	non-marketed goods|&|non-market good
map	nonrenewable resources	nonrenewable resource
map	non-use values	non-use-values|&|non-use value
map	north america	
map	odds ratio	odds ratios
map	older adults	
map	open access	open-access
map	operating costs	operational costs|&|operating cost|&|operation costs
map	opinions	opinion
map	opportunity	opportunities|&|opportunism
map	opportunity costs	opportunity cost
map	optimal allocation	optimized allocation|&|optimal allocations
map	optimal control	optimal controls
map	optimal harvest	optimal harvests|&|optimal harvesting
map	optimal management	optimally managing
map	optimal policy	optimal policies
map	optimal solution	optimal solutions
map	optimal strategy	optimal strategies|&|optimization strategy
map	optimization model	optimization models|&|optimization modeling|&|optimal model|&|optimizing model
map	option value	option values|&|options value|&|options values
map	organic farming	organic farms|&|organic farm
map	organisms	organics|&|organizing|&|organs|&|organic|&|organization|&|organism|&|organizers|&|organizations
map	overall performance	
map	panel data	
map	paradigm shift	paradigm shifts
map	participation	participates|&|participants|&|participant
map	path dependence	path-dependence|&|path-dependancy|&|path dependencies|&|path dependent|&|path dependency|&|path-dependency
map	people	peoples
map	permits	permit
map	pesticides	pesticide
map	pesticide use	
map	physical characteristics	
map	pigouvian taxes	pigouvian tax
map	place	places
map	policies	policy
map	policy analysis	
map	policy implications	policy implication
map	policy instrument	policy instruments
map	policymakers	policymaking|&|policymaker
map	policy makers	policy-maker|&|policy-makers|&|policy maker
map	policy measures	policy measure
map	political economy	political economies
map	pollution	pollutants|&|pollutions|&|pollutant|&|pollute|&|polluter|&|polluters|&|polluting|&|pollutes
map	pollution control	pollutants control|&|pollutant control|&|pollution controls
map	pollution emissions	pollutant emissions|&|pollutant emission|&|pollution emission
map	poor countries	
map	population	populations|&|popul
map	population density	population densities
map	population dynamics	
map	population growth	
map	population size	population sizes
map	positive correlation	positive correlations
map	positive influence	positive influences
map	positive relationship	positive relationships
map	poverty	
map	poverty alleviation	
map	power	powers
map	precautionary principle	precautionary principles
map	predictive models	prediction models|&|predictive modelling|&|predictive model|&|prediction model
map	preference methods	preferred method|&|preferences methods|&|preference method
map	preferences	preferred|&|preference
map	present value	present values
map	price elasticity	price elasticities|&|price-elasticity|&|price elastic
map	prices	price|&|pricing
map	primary production	primary products|&|primary productivity
map	principal components analysis	principal component analysis
map	probability	probables|&|probabilities|&|probablity
map	production functions	productive function|&|production function|&|productive functions
map	production systems	product systems|&|product system|&|productions systems|&|production system|&|productive systems
map	products	productivities|&|productive|&|productions|&|production|&|productivity|&|product
map	product-service systems	product/service-systems|&|production service system|&|production service systems|&|product/service systems|&|product service systems|&|product-service system|&|product service system
map	profit	profits|&|profitability
map	progress	progression|&|progressive|&|progressivity
map	property rights	property right
map	protected area	protected areas
map	protection	protections|&|protective
map	provision	provisions|&|provisioning
map	public	publications|&|publicness|&|publication|&|publics|&|publicity
map	public goods	public good|&|public-good
map	public health	
map	public participation	
map	public policy	public policies
map	public preferences	public preference
map	qualitative analysis	
map	rapid growth	
map	rate	rates|&|rating|&|ratings
map	recommendations	recommendation
map	recreational value	recreation value|&|recreation values|&|recreational values
map	recycling	recyclability|&|recycled|&|recyclers|&|recyclables|&|recycle|&|recycler
map	regional level	regional levels|&|region level
map	regional scale	regional-scale|&|regional scaling|&|regional scales
map	regression analysis	
map	regulations	regulators|&|regulator|&|regulation|&|regulating
map	relative abundance	relative abundances
map	remote sensing data	remotely-sensed data|&|remote-sensing data|&|remote sensed data
map	renewable energy	renewable energies
map	renewable resources	renewable resource
map	representative sample	representative samples
map	research community	
map	research findings	research finding
map	research question	research questions
map	reserves	reserve|&|reservations|&|reservation
map	residents	residency|&|residing|&|resident|&|residence|&|residences
map	resilience	resiliency
map	resource consumption	resources consumption
map	resource depletion	resources depletion
map	resource economics	resource economic
map	resource extraction	resources extraction|&|resource extractive
map	resource management	resource manager|&|resources management|&|resource managers|&|resources managers
map	resources	resource|&|resourceful
map	resource stock	resource stocking|&|resource stocks|&|resources stocks
map	resource use	resource uses|&|resources useful|&|resource-use|&|resources use
map	restoration	restorations
map	risk	risks
map	risk assessment	risk assessements|&|risk assessments
map	risk-aversion	risk averse|&|risk aversion
map	risk factors	risk factor
map	risk management	risk manager|&|risk managers
map	risk reduction	risk reductions
map	rural areas	rural area
map	rural communities	rural community
map	sample size	sample sizes
map	satellite images	satellite image
map	scale	scaling|&|scales
map	scenarios	scenario
map	scientific literature	
map	sea level rise	sea-level rise|&|sea level rises
map	second law	second laws
map	sector	sectoral|&|sectors
map	selective pressure	selection pressure|&|selection pressures|&|selective pressures
map	sensitivity analysis	
map	services	service
map	several studies	
map	shadow price	shadow prices|&|shadow pricing
map	significant reductions	significant reduction
map	simulation model	simulation models|&|simulation modelling|&|simulated model|&|simulation modeling
map	simulations	simulators|&|simulation|&|simulates|&|simulator
map	small amounts	small amount
map	social capital	social capitals
map	social cost	social costs
map	social discount rate	social discount rates
map	social impacts	social impact
map	social norms	social norm
map	social sciences	social science
map	social systems	social system
map	social values	social value
map	social welfare	
map	society	societies
map	soil	soils
map	soil erosion	soil-erosion
map	soil fertility	
map	solar cells	
map	south america	south-america
map	spatial distribution	spatial distributions
map	special attention	
map	special emphasis	
map	species	specie
map	species richness	species-richness
map	stability	stabilization|&|stabilizer|&|stabilizations|&|stabilities
map	stakeholders	stakeholder
map	state	states
map	statistical analyses	
map	stock	stockings|&|stocks|&|stocking
map	structural analysis	structure analysis
map	structural change	structural changes
map	study period	study periods
map	study site	study sites
map	subjective well-being	
map	sub-saharan africa	
map	subsidies	subsidy
map	substitution	substitutability|&|substitutions|&|substitute|&|substitutes
map	success	successfulness|&|successes|&|successful|&|successions|&|succession
map	such changes	such change
map	such information	
map	such studies	
map	survey	surveys
map	survey data	
map	sustainability	sustaining|&|sustainably|&|sustainable
map	sustainability indicators	sustainability indicator|&|sustainability indices
map	sustainable agriculture	
map	sustainable development	sustainability development
map	sustainable future	sustainable futures
map	sustainable management	sustainability management
map	sustainable production	sustainable products|&|sustainable product|&|sustained production
map	sustainable tourism	
map	sustainable use	sustainable uses|&|sustained use
map	system approach	systemic approaches|&|systems approach|&|systemic approach|&|systems approaches
map	systematic review	systematic reviews
map	system dynamics	system dynamism|&|system dynamical|&|system dynamic|&|systems dynamical|&|systems dynamics|&|systems dynamic
map	taxes	tax
map	technological change	technological changes|&|technology change|&|technology changes
map	technological developments	technology developers|&|technology development|&|technological development
map	technological innovation	technological innovativeness|&|technology innovation|&|technology innovations|&|technological innovations
map	technological progress	
map	technology	technologies
map	technology transfer	technological transfer|&|technological transfers|&|technology transfers
map	theoretical framework	theoretical frameworks
map	theoretical model	theoretic model|&|theoretical modeling|&|theoretical modelling|&|theoretical models
map	theoretical predictions	theoretical prediction
map	time preference	time preferences
map	total amount	
map	total number	total numbers
map	tourism	
map	tradable permits	tradable permit
map	trade	trades|&|trading
map	trade liberalization	
map	trade-offs	traded-off|&|trading-off|&|trade-off|&|trade offs
map	trade policy	trade policies
map	traditional methods	traditional method
map	transaction costs	transaction cost|&|transactions cost|&|transaction-costs|&|transactions costs
map	transboundary pollution	transboundary pollutants|&|transboundary pollutant
map	transport	transportation|&|transports
map	tropical deforestation	tropical deforestion
map	tropical forests	tropical forest
map	uncertainty	uncertainties
map	understanding	understandings
map	united kingdom	
map	united states	
map	urban areas	urban area|&|urbanizing areas|&|urbanized areas
map	urgent need	
map	u.s	
map	usa	
map	utility	utilizers|&|utilize|&|utilization|&|utilities
map	valuable information	
map	valuation	valuations
map	variety	varieties
map	various sources	
map	vast majority	
map	vulnerability	vulnerabilities|&|vulnerable
map	waste	wasting|&|wastes
map	water	watering|&|waters
map	water bodies	water-bodies|&|water body
map	water management	water managers
map	water pollution	water pollutants
map	water quality	water-quality|&|water qualities
map	water resources	water resource
map	water resources management	water resource manager|&|water resource management|&|water resource managers
map	water supply	water supplies
map	water use	water uses|&|water-use
map	welfare	welfarism
map	welfare estimates	welfare estimator|&|welfare estimations|&|welfare estimate
map	welfare measure	welfare measurement|&|welfare measures|&|welfare measurements
map	well-being	well being
map	wetlands	wetland
map	whole system	
map	widespread use	
map	wildlife	
map	willingness	willingnesses
map	women	
map	world	worlds
map	world bank	
map	world wide	
map	wtp	
map	yield	yields
map	young people	
main	abatement	abatements
main	abatement costs	abatement cost
main	ability	abilities|&|abil
main	abms	abm
main	absence	absences
main	absorptions	absorption
main	abstracts	abstractions|&|abstraction
main	academia	
main	academics	academic
main	acceleration	
main	acceptability	acceptances|&|acceptance
main	access	accessibility|&|accession|&|accessions
main	access controls	access control
main	accidents	accident
main	accordance	accord|&|accords
main	accumulation	accumulations
main	accuracy	
main	accurate estimation	accurate estimate|&|accurate estimates
main	accurate predictions	accurate prediction
main	acetaldehyde	
main	ache	
main	achievement	achievements|&|achievers
main	acidification	
main	acquisitions	acquisition
main	acre	acres
main	act	acts|&|acting
main	actions	action
main	active ingredients	
main	activités	
main	activities	active|&|activism|&|activity|&|activation
main	actor	actors
main	acute toxicity	
main	adaptive capacity	adaptive capacities|&|adaptation capacities
main	adaptive management	
main	adaptive strategies	adaptation strategy|&|adaptation strategies|&|adaptive strategy
main	addicts	addiction
main	addition	additionality|&|additions|&|additives|&|additive|&|additivity|&|additional
main	additional information	
main	address	addresses
main	adequacy	
main	adherence	
main	adhesive	adhesives|&|adhesion
main	adjustments	adjustment
main	administrators	administrator|&|administrative|&|administration
main	admissions	admission
main	adolescents	adolescence
main	adoption	adopter|&|adoptions|&|adopters
main	adsorption	
main	adults	adult
main	advancement	advancements|&|advances|&|advance
main	advantages	advantage
main	advent	
main	adversary	adversaries
main	adverse impact	adverse impacts
main	advertising	advertisement|&|advertisements|&|advertiser|&|advertisers
main	advices	advice
main	advocate	advocates|&|advocators
main	a e	a.e
main	aes	ae
main	affinity	
main	afforestation	
main	afp	
main	africa	
main	age	aging|&|ageing|&|ages
main	agency	agencies
main	agenda	agendas
main	agglomeration	agglomerations
main	aggregation	aggregating|&|aggregator|&|aggregates|&|aggregate|&|aggregations
main	agreement	agreements
main	agricole	agricoles
main	agriculteurs	
main	agricultural area	agricultural areas|&|agriculturized areas
main	agricultural economics	
main	agricultural landscape	agricultural landscapes
main	agricultural policy	agriculture policy|&|agricultural policies
main	agricultural practices	agricultural practice|&|agriculture practices
main	agricultural soils	agricultural soil
main	agriculture activities	agricultural activities|&|agricultural activity
main	agriculture field	agricultural fields
main	agriculture intensification	agricultural intensification
main	agrochemicals	
main	agroecosystem	agroecosystems
main	agroforestry	
main	ahp	
main	aids	aid
main	ainsi	
main	air	aires
main	aircraft	
main	airports	airport
main	air temperature	
main	alberta	
main	alcohol	alcoholism|&|alcohols
main	alfalfa	
main	algae	
main	algeria	
main	algorithms	algorithm
main	alignment	
main	alimentaires	
main	aliments	
main	alleles	allele
main	alliances	alliance
main	alloys	
main	alpha	
main	alsace	
main	alterations	alterity|&|alteration
main	alternate ways	alternative way|&|alternative ways
main	alternative approaches	alternative approach
main	alternative methods	alternate methods|&|alternative method
main	alternative model	alternative models|&|alternate models
main	alternatives	alternates|&|alternative
main	alternative solutions	alternative solution|&|alternate solutions
main	altitudes	altitude
main	altruism	
main	alumina	
main	aluminium	
main	aluminum	
main	alzheimer	
main	amazon	
main	amazonia	
main	ambient air	
main	ambient temperature	
main	ambiguity	ambiguities
main	ambition	ambitions
main	amenities	amenity
main	america	americas
main	american institute	
main	american society	
main	ammonia	
main	ammonium	
main	amp	
main	amphibians	amphibian
main	amplification	
main	amplifier	
main	amplitude	amplitudes
main	analogues	analogue
main	analogy	analog|&|analogies
main	analysts	analyst
main	analytical approaches	analytical approach|&|analytic approach
main	analytical hierarchy process	analytic hierarchy process
main	analytical solution	analytic solution|&|analytical solutions|&|analytic solutions
main	analytical tool	analytic tool|&|analytical tools
main	analytic expression	analytical expressions|&|analytic expressions
main	analytic methods	analytical method|&|analytical methods
main	analytic models	analytic modeling|&|analytical modelling|&|analytic model|&|analytical model|&|analytical models
main	analytics	analytical|&|analytes|&|analytically
main	analytic studies	analytical study|&|analytic study|&|analytical studies
main	angle	angling|&|angles
main	anglers	angler
main	animals	animate|&|animal|&|animation
main	animaux	
main	anisotropy	
main	ann	
main	annotations	
main	anomalies	anomaly
main	anonymity	
main	ans	
main	answer	answering|&|answerer|&|answers
main	antagonism	
main	antecedents	antecedent
main	antibiotics	
main	anticipation	anticipations
main	antioxidants	antioxidant
main	ants	ante|&|ant
main	anxiety	anxieties
main	à partir	
main	api	apis
main	app	
main	apparatus	
main	appeal	appeals
main	appears	appearance
main	apples	apple|&|appl
main	applications such	
main	appraisal	appraisals|&|appraise|&|appraisers
main	appropriation	appropriates|&|appropriations|&|appropriators|&|appropriability|&|appropriate|&|appropriateness
main	approximation	approximations
main	april	
main	aquaculture	
main	aquatic ecosystems	
main	aquatic environment	aquatic environments
main	aquatic organisms	
main	aquifer	aquifers
main	arc	
main	architecture	
main	argentina	
main	argument	argumentation|&|arguments
main	arkansas	
main	arm	arms
main	arrangements	arrangement
main	array	arrays
main	arrival	
main	art	arts
main	artefacts	artefact
main	articulation	articulating|&|articulations
main	artifact	artifacts
main	artificial neural networks	artificial neural network
main	artisans	artisanal
main	a-si	
